Effective Date,,ABC Intl Hldg,ABN AMRO,AIB,ALLIANCE BERNSTE,AmInvestment,Amundi AM,ANZ Bank,Bank NZ,Bank of China,Bank Permata,Barclays,BayernLB,BBVA,Berenberg,Bidv Securities,Bkhaus Lampe,BMO,BNP Paribas,BOC China,BOCIL,BofAML,BOQ,Brown Brothers,CA CIB,CaixaBank,Capital Econ,Capital Secs,Capitalstars,CBA Ltd,CDBS,CEBM,Centrum Capital,CGB,Changjiang Secs,Chengtong Securi,China Securities,ChinaMrchntBank,ChinaReform Sec,CIBC,CINDA SECURITIES,CITIC Secs Intl,CITIC Securities,Citigroup,CN MERCHANT,Commerzbank UK,Continuum Econ,Contributors,Credit Suisse,D n B,Daiwa Cap Mkts,Danske Bk,DBFI,DBS Bank,DekaBank,Desjardins Group,Deutsche Bank,DZ Bank,EBSCN,Edelweiss,Emirates NBD,Eurobank Hldgs,Federal Bank,Founder Fincg,Founder Secs,Generali Investments,Goldman Sachs,Handelsbanken,HC Securities,HDFC Bank,Helaba,Hiltop,HSBC Hldg,HT Securities,HTSC,Hwabao Trust,ICICI Bank,IG Markets,IHS Global,India Forex,Industrial Sec,Industril Bank,Informa Global,ING Fin Mkts,Intesa Sanpaolo,Inventure,Investec,J. Safra Sarasin,JP Morgan,Julius Baer,Jyske Bank,Kasikornbank,KBC Economics,Krung Thai Bank,LBBW,Lianxun Secs,Lloyds Bank UK,Macquarie Group,Maplecroft.Net,Maybank Inv Bnk,Minsheng Sec,Mizuho Bank Ltd,Mizuho Secs,Monex Europe,Moody's Analytics,Morgan Stanley,MUFG,NAB,Natixis,Natl Bk Canada,NatWest Markets,Nomura,NORD Landbk,Nordea,Northern Trust,Nykredit Markets,OCBC,Pantheon,Piramal,PNC Finl Svc,Postbank,Punjab Natl Bank,Rabobank,Raiffeisen Intl,RBC,RBL Bank,Refinitiv - IFR Markets,Renaissance,RGE,RMB,Samsung Futures,Saxo Bank,Schroders,Scotiabank,SCS,Shanghai Secs,Shinhan Bank,Siam Comm Bank,Sinolink Secs,Skand Ensk Bank,Societe Generale,St George Bank,Standard Bk,Standard Chartered,Swedbank AB,SWSC,TC Bank,TD,TD Securities (USA) LLC,TMB Bank,UBS,UCO Bank,Uni Credit,Union Bank PH,UOB,Vadilal Forex,VTB-Capital,Wells Fargo,Westpac,Yingda Secs,ZHESHANG SECS,ZKB
2022/5/31,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.14,#N/A,#N/A,#N/A,#N/A,#N/A,-0.04,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,0.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.2,-0.27,#N/A,#N/A,#N/A,#N/A,#N/A,-0.15,#N/A,-0.03,#N/A,0.2,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,0,-0.1,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.05,#N/A,#N/A,0.05,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3,#N/A,#N/A,#N/A,0.24,#N/A,#N/A,#N/A,0.02,0.28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,#N/A,#N/A,#N/A,0.16,0.23,#N/A,#N/A,0.1
2022/4/29,12,#N/A,0.03,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,-0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,0.05,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,0,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.03,0.47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.18,#N/A,0.3,0.1,0.42,#N/A,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.05,#N/A,0.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.17,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.45,#N/A,#N/A,-0.21,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,#N/A,0.05
2022/3/31,13,#N/A,0.05,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,0,#N/A,0.03,#N/A,#N/A,#N/A,0.01,#N/A,-0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.25,#N/A,-0.23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.12,#N/A,0.1,0.4,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,-0.1,#N/A,#N/A,#N/A,#N/A,0,0.07,0.63,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,0.22,#N/A,#N/A,0.1,0,#N/A,#N/A,#N/A,#N/A,0.08,#N/A,#N/A,#N/A,0.15,#N/A,0.29,0.25,0.15,#N/A,#N/A,0.1,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0.23,0.1,#N/A,#N/A,0,0.45,#N/A,#N/A,-0.09,#N/A,#N/A,#N/A,#N/A,0.08,#N/A,0.16,#N/A,#N/A,0.02,0.15,0.01,#N/A,0.2
2022/2/28,14,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,-0.1,#N/A,0.06,#N/A,#N/A,#N/A,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.55,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,-0.23,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,0.17,#N/A,0.1,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.25,-0.1,#N/A,#N/A,#N/A,#N/A,0,-0.1,0.57,#N/A,#N/A,#N/A,#N/A,0.15,0.08,0.23,#N/A,#N/A,0.1,0,#N/A,#N/A,#N/A,#N/A,0.03,#N/A,#N/A,0,0.3,#N/A,#N/A,0.25,0.1,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,0.07,#N/A,#N/A,#N/A,#N/A,#N/A,-0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,#N/A,#N/A,0.02,#N/A,#N/A,#N/A,0.05,0.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07,#N/A,0.23,-0.05,#N/A,0.15,0.01,0.3,#N/A,#N/A
2022/1/31,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,-0.15,#N/A,#N/A,#N/A,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.21,#N/A,#N/A,#N/A,0.32,0.15,-0.23,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,-0.02,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,#N/A,0.42,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,#N/A,#N/A,#N/A,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,0.07,#N/A,#N/A,#N/A,0.3,#N/A,0.08,0.3,0,#N/A,#N/A,-0.05,#N/A,#N/A,#N/A,#N/A,#N/A,0.14,#N/A,#N/A,#N/A,#N/A,#N/A,-0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,0.3,#N/A,#N/A,#N/A,0.01,#N/A,#N/A,#N/A,0.08,0.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.02,#N/A,#N/A,#N/A,#N/A,0.1,0.04,#N/A,#N/A,0.15
2021/12/31,16,#N/A,0,0.1,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,-0.15,#N/A,-0.23,#N/A,#N/A,#N/A,0.04,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0.26,#N/A,-0.23,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,-0.03,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,-0.05,-0.1,#N/A,#N/A,#N/A,#N/A,-0.05,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,0.2,-0.02,#N/A,#N/A,#N/A,#N/A,#N/A,-0.12,-0.1,#N/A,#N/A,0.1,-0.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.25,#N/A,0.08,0.15,0,#N/A,#N/A,#N/A,#N/A,-0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,-0.21,-0.35,#N/A,#N/A,0.13,0.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.08,#N/A,#N/A,-0.03,0,#N/A,#N/A,#N/A
2021/11/30,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,-0.21,#N/A,#N/A,#N/A,#N/A,#N/A,-0.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,0,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,-0.03,#N/A,-0.23,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,-0.15,-0.3,-0.05,#N/A,#N/A,#N/A,#N/A,0.25,-0.12,-0.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,#N/A,0.08,#N/A,-0.12,-0.07,#N/A,#N/A,-0.2,-0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,#N/A,#N/A,-0.16,#N/A,#N/A,#N/A,0.16,0.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,-0.1,-0.19,0.1,#N/A,#N/A
2021/10/29,18,#N/A,-0.5,#N/A,#N/A,#N/A,#N/A,-0.27,#N/A,#N/A,#N/A,#N/A,#N/A,-0.43,#N/A,#N/A,#N/A,-0.14,#N/A,#N/A,#N/A,-0.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.12,#N/A,-0.24,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,-0.25,#N/A,-0.3,#N/A,-0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.35,#N/A,-0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.05,#N/A,0.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1,#N/A,0.1,#N/A,#N/A,#N/A,-0.32,#N/A,#N/A,#N/A,-0.63,#N/A,#N/A,#N/A,-0.13,#N/A,#N/A,#N/A,#N/A,-0.27,#N/A,#N/A,-0.45,#N/A,-0.16,-0.26,#N/A,#N/A,-0.05
2021/9/30,19,#N/A,-0.6,#N/A,#N/A,#N/A,#N/A,-0.26,#N/A,#N/A,#N/A,-0.35,#N/A,-0.42,-0.45,#N/A,#N/A,#N/A,#N/A,-0.22,#N/A,-0.4,#N/A,#N/A,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.36,#N/A,-0.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.25,#N/A,-0.5,-0.4,-0.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.15,#N/A,#N/A,#N/A,#N/A,#N/A,-0.12,-0.4,-0.45,#N/A,#N/A,#N/A,#N/A,-0.4,-0.31,-0.4,#N/A,#N/A,#N/A,-0.55,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,-0.2,#N/A,-0.76,-0.38,-0.55,#N/A,#N/A,-0.32,-0.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.05,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1,#N/A,#N/A,#N/A,-0.45,-0.42,#N/A,#N/A,-0.75,-0.47,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,-0.35,#N/A,-0.1,#N/A,#N/A,-0.09,-0.3,0.15,#N/A,-0.15
2021/8/31,20,#N/A,-0.6,#N/A,#N/A,#N/A,#N/A,-0.38,#N/A,#N/A,#N/A,#N/A,#N/A,-0.43,-0.47,#N/A,#N/A,-0.44,#N/A,-0.35,#N/A,-0.38,#N/A,#N/A,#N/A,#N/A,-0.87,#N/A,#N/A,#N/A,-0.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.5,#N/A,#N/A,#N/A,-0.6,-0.2,-0.35,#N/A,#N/A,#N/A,#N/A,#N/A,-0.65,#N/A,-0.31,#N/A,-0.6,#N/A,-0.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.4,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,#N/A,-0.35,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,-0.55,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,-0.52,#N/A,#N/A,#N/A,-0.3,-0.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6,#N/A,-0.54,#N/A,-0.42,-0.39,#N/A,#N/A,-0.84,#N/A,#N/A,#N/A,#N/A,-0.27,#N/A,#N/A,#N/A,#N/A,#N/A,-1.05,#N/A,-0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.78,-0.73,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,-0.64,#N/A,#N/A,-0.46,#N/A,-0.45,-0.35,#N/A,#N/A,-0.45
2021/7/31,21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.5,#N/A,#N/A,#N/A,#N/A,#N/A,-0.39,#N/A,#N/A,#N/A,-0.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.78,#N/A,#N/A,#N/A,-0.54,#N/A,#N/A,#N/A,-0.47,#N/A,#N/A,#N/A,#N/A,-0.57,#N/A,#N/A,#N/A,-0.62,#N/A,-0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.32,#N/A,-0.65,#N/A,-0.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.4,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,-0.55,#N/A,#N/A,#N/A,#N/A,#N/A,-0.45,-0.55,-0.58,#N/A,#N/A,#N/A,#N/A,#N/A,-0.61,#N/A,#N/A,#N/A,-0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.5,-0.63,#N/A,-0.58,-0.66,-0.38,#N/A,#N/A,-0.54,#N/A,#N/A,-0.77,#N/A,#N/A,-0.45,#N/A,#N/A,#N/A,#N/A,#N/A,-1.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.4,#N/A,-0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.82,#N/A,#N/A,#N/A,-0.33,#N/A,#N/A,#N/A,#N/A,-0.53,#N/A,#N/A,-0.3,#N/A,-0.48,-0.45,#N/A,#N/A,-0.45
2021/6/30,22,#N/A,-0.8,-0.55,#N/A,#N/A,#N/A,-0.5,#N/A,#N/A,-0.63,-0.95,#N/A,-0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.4,#N/A,#N/A,#N/A,#N/A,-0.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.55,#N/A,#N/A,#N/A,-0.57,#N/A,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.31,#N/A,#N/A,#N/A,-0.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.7,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,-0.75,#N/A,#N/A,#N/A,-0.61,#N/A,-0.36,#N/A,-0.5,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6,-0.18,#N/A,#N/A,-0.55,-0.49,#N/A,#N/A,#N/A,#N/A,-0.55,#N/A,#N/A,#N/A,-0.63,#N/A,-0.58,#N/A,-0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.5,#N/A,#N/A,#N/A,-0.59,-0.5,#N/A,#N/A,-0.85,#N/A,#N/A,#N/A,-0.15,#N/A,#N/A,#N/A,#N/A,-0.52,#N/A,#N/A,#N/A,#N/A,-0.48,-0.45,#N/A,#N/A,-0.55
2021/5/31,23,#N/A,#N/A,#N/A,#N/A,#N/A,-0.4,-0.7,#N/A,#N/A,#N/A,#N/A,#N/A,-0.31,#N/A,#N/A,#N/A,-0.44,#N/A,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.55,#N/A,#N/A,#N/A,-0.45,-0.34,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,-0.65,#N/A,-0.33,#N/A,-0.43,#N/A,-0.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,-0.65,#N/A,#N/A,#N/A,#N/A,#N/A,-0.45,-0.05,-0.47,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6,#N/A,#N/A,#N/A,-0.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.38,-0.69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.5,#N/A,#N/A,#N/A,-0.54,#N/A,#N/A,#N/A,-0.8,#N/A,#N/A,#N/A,-0.22,#N/A,#N/A,#N/A,#N/A,-0.48,#N/A,#N/A,-0.18,#N/A,-0.43,-0.25,#N/A,#N/A,#N/A
2021/4/30,24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.46,#N/A,#N/A,#N/A,#N/A,#N/A,-0.16,#N/A,#N/A,#N/A,-0.23,#N/A,#N/A,#N/A,-0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.27,#N/A,#N/A,#N/A,-0.16,#N/A,-0.16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,#N/A,-0.2,#N/A,-0.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,-0.45,#N/A,#N/A,#N/A,-0.25,#N/A,-0.3,-0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,-0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,-0.17,#N/A,-0.29,-0.15,#N/A,#N/A,-0.4
2021/3/31,25,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,-0.45,#N/A,#N/A,#N/A,-0.5,#N/A,-0.01,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,#N/A,0,#N/A,-0.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,0.2,#N/A,0,-0.15,-0.14,#N/A,#N/A,#N/A,#N/A,-0.19,-0.26,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.25,#N/A,-0.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.25,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,-0.3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3,#N/A,-0.3,#N/A,#N/A,#N/A,-0.31,-0.17,#N/A,#N/A,-0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.15,#N/A,-0.35,-0.08,#N/A,-0.23,0,#N/A,#N/A,-0.3
2021/2/26,26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.33,#N/A,#N/A,#N/A,#N/A,#N/A,0.06,#N/A,#N/A,#N/A,-0.05,#N/A,-0.23,#N/A,0.04,#N/A,#N/A,#N/A,#N/A,0.02,#N/A,#N/A,#N/A,-0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.23,#N/A,#N/A,#N/A,#N/A,#N/A,-0.22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.03,#N/A,0,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.05,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1,-0.15,-0.18,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,#N/A,#N/A,-0.32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,#N/A,#N/A,#N/A,-0.3,#N/A,-0.3,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3,#N/A,0,#N/A,#N/A,#N/A,-0.14,0,#N/A,#N/A,-0.04,-0.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.09,#N/A,#N/A,0.05,#N/A,0.04,#N/A,#N/A,#N/A,-0.2
